"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Burundi","BDI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2568641","2622016","2410298","2394789","2628505","2575028","2527375","2574722","2648179","2701303","2770594","2848684","2937179","3048521","3150340","3237210","3376426","3541156","3754411","3944226","4072769","4201862","4334934","4460707","4526075","4554341","4644906","4804276","4993362","5116723","5311768","5510923","5722443",
"Belgium","BEL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4035746","4081207","4106266","4171786","4202026","4205314","4229113","4269462","4371569","4416525","4315763","4365043","4402418","4485839","4626679","4646803","4728844","4777353","4797213","4893955","4876780","4910968","4962050","4978926","4989597","4997187","5086330","5144068","5194405","5167188","5259744","5374303","5382321",
"Benin","BEN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2076860","2140165","2255088","2345579","2375000","2429876","2502067","2582839","2667735","2755776","2846533","2939918","3038386","3139548","3251640","3361334","3464881","3577586","3697926","3822693","3947757","4004243","4056023","4105299","4152214","4195476","4235801","4273806","4402996","4496108","4560387","4796679","4964239",
"Burkina Faso","BFA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4162241","4222905","4290284","4364455","4443793","4522973","4604246","4701427","4814343","4933796","5059121","5187760","5316274","5443470","5567467","5683357","5790842","5886292","5978737","6071773","6168443","6272750","6376479","6481181","6682736","6895219","7115497","7338779","7567042","7741338","8049004","8327762","8577269",
"Bangladesh","BGD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36555318","37587038","38690717","39850324","41043547","42164841","43338852","44578242","45860569","47154102","48398439","49615035","50792730","51957839","53076512","53950191","54599225","55151453","55755782","56625232","57602724","58662413","59781774","60904130","62009866","63166277","67164738","68748318","70248864","70941233","73234222","73862460","74913612",
"Bulgaria","BGR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3933620","3931230","3863462","3813982","3760700","3703303","3642463","3580044","3519675","3459130","3488558","3393905","3322992","3353786","3282858","3369624","3432707","3486533","3409927","3405748","3323514","3335298","3363140","3357878","3333481","3265483","3364252","3338430","3391873","3311854","3268751","3147100","3081382",
"Bahrain","BHR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231507","239840","248928","258713","269157","280317","292255","304884","318052","331668","345676","360155","381538","417214","461674","508671","558291","610442","664657","692760","685093","699050","722754","742612","768564","801959","837075","860599","864408","840235","833682","844182","855301",
"Bahamas, The","BHS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136814","141084","145240","149259","152813","156390","160210","163108","167380","171118","174757","178112","181019","184145","187605","191092","194489","197505","200213","203958","207993","211907","215010","218498","221828","225308","228906","232371","235402","221416","230610","238456","242250",
"Bosnia and Herzegovina","BIH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1559825","1459851","1311920","1230222","1221728","1289877","1351290","1385922","1410411","1429767","1446102","1467568","1479854","1479078","1474492","1474993","1482648","1490660","1463957","1464249","1428367","1416274","1386578","1400680","1385813","1365760","1351075","1330417","1344543","1321242","1387825","1381592","1368568",
"Belarus","BLR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4647361","4660189","4675859","4697022","4719506","4716201","4702916","4710349","4735445","4799823","4854143","4894315","4922877","4945457","4965796","4986812","5013841","5042776","5069441","5088243","5101163","5108408","5112243","5116472","5123402","5126557","5119698","5099979","5079798","5044592","5014861","4993525","4960878",
"Belize","BLZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58080","59886","61601","63258","66510","70342","74702","77887","82191","85987","89751","93550","97441","101437","105569","109868","114338","118970","123774","128753","133836","138977","144234","151065","156821","162580","166748","170728","174493","172620","177472","185068","190064",
"Bermuda","BMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
