"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16596531867981","1.26966309547424","1.25131320953369","1.26187098026276","1.27677536010742","1.10914754867554","1.12129557132721","1.10294651985168","1.09523594379425","1.11940670013428","1.01423156261444","1.24846112728119","1.23273515701294","1.23937666416168","1.2074294090271","1.17470288276672","1.19939172267914","0.801610887050629","0.756784737110138","",
"Africa Eastern and Southern","AFE","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.29170477390289","","-1.17601227760315","","-1.27172422409058","","-1.25113701820374","-1.34417974948883","-1.35064733028412","-1.44725239276886","-1.44629228115082","-1.61325109004974","-1.67209553718567","-1.55229878425598","-1.64539110660553","-1.60047078132629","-1.43037283420563","-1.44590842723846","-1.36474287509918","-1.35423982143402","-1.54035270214081","-1.53190970420837","-1.50288057327271","-1.41949915885925","-1.49369978904724","-1.15232741832733","-1.18377649784088","",
"Africa Western and Central","AFW","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.1677018404007","","-1.1804506778717","","-1.197514295578","","-1.15549266338348","-1.33546328544617","-1.37756884098053","-1.32318198680878","-1.24103772640228","-1.30749356746674","-1.30876457691193","-1.39776611328125","-1.33247494697571","-1.36746907234192","-1.30240142345428","-1.33687472343445","-1.45779824256897","-1.42732346057892","-1.48333728313446","-1.44433307647705","-1.19925093650818","-1.05841791629791","-0.938672542572021","-0.651610195636749","-0.601941287517548","",
"Albania","ALB","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.893903493881226","","-0.992024779319763","","-0.855563640594482","","-0.8453409075737","-0.853786587715149","-0.723731815814972","-0.813263893127441","-0.790545284748077","-0.706940054893494","-0.605212390422821","-0.545270919799805","-0.531616508960724","-0.701794147491455","-0.778729438781738","-0.750955939292908","-0.586141347885132","-0.544385254383087","-0.471469223499298","-0.480890601873398","-0.545840263366699","-0.563899636268616","-0.572924494743347","-0.576535522937775","-0.407875537872314","",
"Andorra","AND","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.31814324855804","","1.33475875854492","","1.31340384483337","","1.31074380874634","1.33278954029083","1.11915028095245","1.26966309547424","1.25131320953369","1.26187098026276","1.27677536010742","1.3177649974823","1.30177271366119","1.27229809761047","1.26053082942963","1.25354850292206","1.22070860862732","1.15181076526642","1.15955591201782","1.17175841331482","1.17916560173035","1.17659223079681","1.26600527763367","1.2798718214035","1.27020359039307","",
"Arab World","ARB","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.00557905901223421","","0.033033475279808","","0.103345222771168","","1.11161923408508","0.826036751270294","1.03947734832764","0.990808546543121","0.885872542858124","1.00609827041626","1.07145047187805","0.906304717063904","0.890833914279938","1.07048761844635","1.15573620796204","1.27358639240265","1.19904685020447","1.03483545780182","1.13127934932709","1.09514439105988","1.11653625965118","1.07211112976074","1.08254373073578","1.15014326572418","1.15533649921417","",
"Argentina","ARG","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.101317152380943","","-0.20348159968853","","-0.172407656908035","","-0.417055726051331","-0.479976803064346","-0.414409548044205","-0.377738356590271","-0.33123853802681","-0.372122079133987","-0.434875011444092","-0.445475101470947","-0.355230033397675","-0.364098519086838","-0.445909202098846","-0.434015780687332","-0.549443066120148","-0.580868721008301","-0.298964887857437","-0.308798342943192","-0.098668172955513","-0.106940247118473","-0.16378065943718","-0.422272920608521","-0.447030484676361","",
