"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9803860531.55248","8949561636.9895","5327344967.03613","4973702540.02406","5354227561.34467","5843688839.16853","6299716421.15014","6621177138.16537","7184486827.46663","7526162157.25132","8150774534.89384","9134510731.77184","10501422441.8107","12207893425.6244","13851841423.6304","16271994101.8439","18988258531.0297","22173115976.0994","24157669801.8107","20884445685.8498","21600412735.6691","23085520248.3701","27009096448.5442","28500152360.1441","29231468082.419","29166842740.5397","31429192104.4042","35676528915.4363","38433992680.1264","42096855653.5675","39575657457.397","43752224675.2256","52733617566.4233","",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","815699546.389627","861639311.368432","891484654.275792","960800878.901","1046837780.53946","1022194142.26749","1109656682.70638","1190555026.10262","1260915739.67937","1326093730.551","1440264043.67489","1405733490.48641","1442310484.22933","1560148255.07288","1694418471.10789","1860686051.30946","2161853940.39075","2427106078.0258","2473301607.4566","2191384352.07707","2043837770.24482","2045440278.58455","1959557148.04871","1929800274.54433","1944331088.21592","1903339788.03094","1952468861.81699","1974735058.78065","2162816790.92322","2269876124.35633","1865341985.20829","2108816635.51801","2472105467.64198","",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296606970753.033","308266971083.155","319047690834.948","338869775496.037","359145644518.848","378798712906.686","403354058864.168","426032065769.344","453620247395.633","479437912024.365","505056094140.601","532864799310.005","565994508002.305","594024458977.883","633138917180.184","666573991108.909","712648996565.745","763412360149.174","797546165740.298","874442486513.615","867492050866.474","938849887363.241","974506449193.729","1062414874202.12","1101347411236.85","1102492313517.56","1143970717633.14","1190737658818.33","1254437048890.68","1336328929938.81","1386702982120.14","1474501352807.93","1700455865579.78","",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149404706482.955","159773121507.843","166835396785.79","171689657416.525","179568160706.732","188224858944.927","195409996114.085","202563723869.671","212779576709.256","220639956878.73","235377744475.237","238949262917.233","251984858807.042","261071387955.893","276006414191.398","288086851811.747","311412915828.518","327170721478.926","343812802543","341383077572.189","351281009003.533","373031463577.163","391635006784.26","406370494341.228","417059741085.658","430975998137.236","460282766423.271","476590426691.819","503361092130.55","537897842704.908","522624838947.364","567987424821.541","641751890596.523","",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37694530103.6164","38696484278.857","30633636929.6859","24115654422.4934","19778392232.0172","17810336856.036","18372211992.4865","19772991830.6122","21995097661.6114","23955634496.4708","27217678656.4585","30586137071.2623","33994826285.4696","38204531284.4344","42860372196.7017","56564627673.0606","78426917948.493","100683032684.431","113654290594.673","125016200872.444","132906490790.588","135803575412.212","148339507564.977","161864879226.656","166328757240.292","144145726475.687","140229738154.492","139152809949.428","144635596909.432","150911015571.769","146306419794.214","161466074682.917","180813396141.088","",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3341667975.18752","3627299688.61041","3747433157.40476","3596877422.10398","3532983821.92221","3321387280.04229","3111624748.90187","3114954587.51486","3299640117.97027","3312343716.22962","3358361145.1884","3504620319.43367","3717503265.93583","3744481925.8038","4030853197.40071","4194668945.05498","4558197311.10758","4842982765.50776","5175835828.04635","5407616902.74818","5753030235.60656","6109378663.94635","6386185330.8931","7069149933.91295","7649427870.69595","8550074537.53225","8358351140.30498","8375481076.5592","8714914014.28641","9032050779.86591","9179845665.48045","9889637647.6173","10781673614.0213","",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186143914588.878","195966424619.526","203500309947.015","206320181481.636","217526046011.997","227383463991.073","230928998259.576","241579537994.353","248634626792.289","260168701709.78","284862666666.667","296218031614.831","312900377877.018","320981343828.761","334143156430.084","347658412088.972","371910293569.293","391020785776.548","405729462246.522","407550330241.668","434005882514.638","451932718764.387","469720618339.766","487343797679.386","503619406808.679","520878052195.13","550677647305.861","573788797293.568","600269569562.906","650523760858.458","643354115322.589","719584623121.985","797595743425.037","",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6263872718.58834","6749352134.0346","7107339440.10568","7700436168.3018","8023775039.5168","8687249860.01219","9228850210.88416","9926367674.35393","10435702280.2009","11148038682.5953","12068417543.7712","12998438893.2101","13813951246.4709","14571665604.7338","15625634673.9068","16391714299.0402","17563887278.8898","19118406973.8386","20439187423.0816","21047276239.8425","21750521094.3437","22860459982.9645","24308499989.2082","26709146743.0221","29146860808.5474","30530995255.4114","32668486802.0226","34023063767.8646","37174388166.7244","40439333927.6786","42543767679.4531","47636139019.0852","54178601471.5986","",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5192367141.73112","5854833811.43012","6002195549.48274","6357151655.81814","6578285936.44934","7100150653.3534","8026534869.02473","8680713154.73274","9419919590.96393","10259110711.9939","10689665669.0506","11653376975.816","12350171718.4476","13576554041.9331","14565345348.6472","16323283254.9017","17879168698.5039","19117304116.1197","20614029336.4487","21360646876.8753","23443220212.813","25515102554.621","26835475975.0516","28735314121.1823","29760893893.8537","31032905189.7743","35340335154.5367","39238401912.359","42835545276.7504","45996298400.397","47492090228.0059","53068780729.9886","57816618893.0419","",
